time	id	s2	s3	Qa3	Qa4	Qa8	Qa10	Qa16	index1	index1a	index1b	Qa3n	Qa4n	Qa8n	Qa10n	Qa16n	index1n	index1an	index1bn
200704	368	1	52	100	150	150	150	150	109.3493712	110.0448983	108.9641145	50	50	100	100	100	62.48535499	66.02693899	60.53561916
200704	384	1	60	150	150	150	200	50	109.3493712	88.03591865	121.0712383	50	100	150	200	100	93.72803249	66.02693899	108.9641145
200704	389	1	60	100	100	200	200	150	117.1600406	110.0448983	121.0712383	150	150	200	200	100	124.97071	110.0448983	133.1783621
200704	392	1	50	50	100	150	150	50	78.10669374	44.01795933	96.85699065	150	100	100	150	50	85.91736312	88.03591865	84.74986682
200704	401	1	50	100	100	150	150	150	101.5387019	110.0448983	96.85699065	100	150	100	200	150	109.3493712	110.0448983	108.9641145
200704	403	2	38	0	150	150	150	50	78.10669374	22.00897966	108.9641145	50	100	100	100	100	70.29602437	66.02693899	72.64274299
200704	406	2	58	0	100	150	100	100	70.29602437	44.01795933	84.74986682	200	150	150	200	100	124.97071	132.053878	121.0712383
200704	420	1	59	150	150	100	200	100	109.3493712	110.0448983	108.9641145	200	200	150	200	100	132.7813794	132.053878	133.1783621
200704	433	2	50	100	100	150	100	50	78.10669374	66.02693899	84.74986682	150	200	150	200	100	124.97071	110.0448983	133.1783621
200704	456	1	37	100	200	200	200	150	132.7813794	110.0448983	145.285486	100	100	100	100	100	78.10669374	88.03591865	72.64274299
200704	457	2	50	150	100	100	150	100	93.72803249	110.0448983	84.74986682	100	100	100	150	150	93.72803249	110.0448983	84.74986682
200704	465	2	36	100	100	150	150	150	101.5387019	110.0448983	96.85699065	0	0	150	100	150	62.48535499	66.02693899	60.53561916
200704	480	2	54	150	100	150	150	100	101.5387019	110.0448983	96.85699065	100	100	150	150	150	101.5387019	110.0448983	96.85699065
200704	507	2	29	100	100	100	200	100	93.72803249	88.03591865	96.85699065	100	100	150	150	100	93.72803249	88.03591865	96.85699065
200704	513	1	60	50	100	100	150	50	70.29602437	44.01795933	84.74986682	50	100	100	100	100	70.29602437	66.02693899	72.64274299
200704	524	1	22	100	150	150	150	100	101.5387019	88.03591865	108.9641145	100	150	100	100	150	93.72803249	110.0448983	84.74986682
200704	551	1	29	100	100	150	150	100	93.72803249	88.03591865	96.85699065	150	100	100	200	50	93.72803249	88.03591865	96.85699065
200704	562	1	24	150	100	150	150	100	101.5387019	110.0448983	96.85699065	100	100	150	150	150	101.5387019	110.0448983	96.85699065
200704	569	1	48	50	100	100	200	100	85.91736312	66.02693899	96.85699065	50	0	200	200	100	85.91736312	66.02693899	96.85699065
200704	573	1	24	100	100	150	150	100	93.72803249	88.03591865	96.85699065	200	100	150	200	100	117.1600406	132.053878	108.9641145
200704	624	2	59	100	100	100	100	100	78.10669374	88.03591865	72.64274299	150	150	100	100	100	93.72803249	110.0448983	84.74986682
200704	631	2	25	100	150	200	200	100	117.1600406	88.03591865	133.1783621	100	150	150	200	150	117.1600406	110.0448983	121.0712383
200704	641	2	54	150	100	150	100	100	93.72803249	110.0448983	84.74986682	200	150	100	150	150	117.1600406	154.0628576	96.85699065
200704	644	1	25	150	200	150	100	150	117.1600406	132.053878	108.9641145	50	0	50	0	150	39.05334687	88.03591865	12.10712383
200704	653	2	55	100	100	100	100	100	78.10669374	88.03591865	72.64274299	100	100	150	200	200	117.1600406	132.053878	108.9641145
200704	658	2	23	100	200	150	200	100	117.1600406	88.03591865	133.1783621	150	100	150	200	150	117.1600406	132.053878	108.9641145
200704	660	2	24	100	150	150	200	150	117.1600406	110.0448983	121.0712383	100	150	150	200	100	109.3493712	88.03591865	121.0712383
200704	663	1	50	150	150	200	200	100	124.97071	110.0448983	133.1783621	100	200	200	200	100	124.97071	88.03591865	145.285486
200704	675	1	60	100	150	150	150	150	109.3493712	110.0448983	108.9641145	100	100	100	150	100	85.91736312	88.03591865	84.74986682
200704	680	2	64	100	100	150	150	100	93.72803249	88.03591865	96.85699065	100	100	150	100	50	78.10669374	66.02693899	84.74986682
200704	696	2	60	150	150	150	150	150	117.1600406	132.053878	108.9641145	100	100	150	200	200	117.1600406	132.053878	108.9641145
200704	709	1	50	150	100	100	200	100	101.5387019	110.0448983	96.85699065	100	100	150	200	100	101.5387019	88.03591865	108.9641145
200704	710	1	50	100	100	150	200	100	101.5387019	88.03591865	108.9641145	150	150	100	150	100	101.5387019	110.0448983	96.85699065
200704	721	1	21	100	100	150	200	100	101.5387019	88.03591865	108.9641145	200	200	100	100	150	117.1600406	154.0628576	96.85699065
200704	733	2	33	100	150	200	200	100	117.1600406	88.03591865	133.1783621	150	100	150	150	100	101.5387019	110.0448983	96.85699065
200704	782	2	56	150	150	150	150	100	109.3493712	110.0448983	108.9641145	100	100	150	200	100	101.5387019	88.03591865	108.9641145
200704	834	1	37	150	100	200	200	100	117.1600406	110.0448983	121.0712383	100	100	150	150	200	109.3493712	132.053878	96.85699065
200704	846	2	41	200	100	150	200	0	101.5387019	88.03591865	108.9641145	100	100	100	150	100	85.91736312	88.03591865	84.74986682
200704	859	1	53	150	150	150	200	100	117.1600406	110.0448983	121.0712383	150	100	100	150	50	85.91736312	88.03591865	84.74986682
200704	892	2	24	150	100	150	150	50	93.72803249	88.03591865	96.85699065	200	200	100	200	150	132.7813794	154.0628576	121.0712383
200704	901	1	25	100	100	150	100	200	101.5387019	132.053878	84.74986682	100	200	150	200	150	124.97071	110.0448983	133.1783621
200704	1062	1	25	150	150	150	100	150	109.3493712	132.053878	96.85699065	100	50	100	150	150	85.91736312	110.0448983	72.64274299
200704	1110	1	39	150	200	150	200	100	124.97071	110.0448983	133.1783621	100	150	150	150	100	101.5387019	88.03591865	108.9641145
200704	1118	2	25	50	150	150	50	100	78.10669374	66.02693899	84.74986682	100	100	100	100	50	70.29602437	66.02693899	72.64274299
200704	1125	2	20	100	150	150	200	150	117.1600406	110.0448983	121.0712383	100	100	200	100	100	93.72803249	88.03591865	96.85699065
200704	1157	2	22	100	100	150	200	100	101.5387019	88.03591865	108.9641145	150	100	150	200	50	101.5387019	88.03591865	108.9641145
200704	1163	1	52	100	100	150	200	100	101.5387019	88.03591865	108.9641145	150	100	100	200	100	101.5387019	110.0448983	96.85699065
200704	1165	2	36	150	100	150	200	100	109.3493712	110.0448983	108.9641145	100	100	100	150	150	93.72803249	110.0448983	84.74986682
200704	1211	2	65	100	100	50	100	100	70.29602437	88.03591865	60.53561916	100	100	100	100	150	85.91736312	110.0448983	72.64274299
200704	1221	1	21	100	150	150	150	50	93.72803249	66.02693899	108.9641145	100	50	150	100	150	85.91736312	110.0448983	72.64274299
200704	1258	1	32	100	150	200	200	100	117.1600406	88.03591865	133.1783621	50	150	100	200	100	93.72803249	66.02693899	108.9641145
200704	1262	1	30	100	150	150	200	100	109.3493712	88.03591865	121.0712383	50	50	150	150	50	70.29602437	44.01795933	84.74986682
200704	1269	2	45	100	100	100	100	100	78.10669374	88.03591865	72.64274299	100	100	150	100	100	85.91736312	88.03591865	84.74986682
200704	1270	2	30	150	200	150	200	100	124.97071	110.0448983	133.1783621	150	50	150	200	100	101.5387019	110.0448983	96.85699065
200704	1276	1	53	0	0	150	200	100	70.29602437	44.01795933	84.74986682	100	100	100	100	100	78.10669374	88.03591865	72.64274299
200704	1279	1	56	100	150	100	150	100	93.72803249	88.03591865	96.85699065	0	50	50	150	100	54.67468562	44.01795933	60.53561916
200704	1298	2	48	100	100	150	200	100	101.5387019	88.03591865	108.9641145	100	100	150	200	100	101.5387019	88.03591865	108.9641145
200704	1360	2	60	150	100	150	150	50	93.72803249	88.03591865	96.85699065	100	100	150	200	100	101.5387019	88.03591865	108.9641145
200704	1366	1	34	100	100	100	150	100	85.91736312	88.03591865	84.74986682	100	100	150	150	150	101.5387019	110.0448983	96.85699065
200704	1367	1	63	150	100	150	200	100	109.3493712	110.0448983	108.9641145	150	150	150	150	50	101.5387019	88.03591865	108.9641145
200704	1383	2	29	100	100	150	200	50	93.72803249	66.02693899	108.9641145	100	100	150	150	100	93.72803249	88.03591865	96.85699065
200704	1388	2	44	100	100	100	100	100	78.10669374	88.03591865	72.64274299	0	100	100	100	100	62.48535499	44.01795933	72.64274299
200704	1402	1	55	100	100	100	150	100	85.91736312	88.03591865	84.74986682	100	100	100	100	100	78.10669374	88.03591865	72.64274299
200704	1406	1	45	100	100	150	200	100	101.5387019	88.03591865	108.9641145	100	200	100	200	100	109.3493712	88.03591865	121.0712383
200704	1427	2	26	200	150	100	200	100	117.1600406	132.053878	108.9641145	100	100	150	200	150	109.3493712	110.0448983	108.9641145
200704	1446	2	55	100	100	150	150	100	93.72803249	88.03591865	96.85699065	150	150	150	200	150	124.97071	132.053878	121.0712383
200704	1456	2	38	100	150	150	150	150	109.3493712	110.0448983	108.9641145	100	150	150	200	100	109.3493712	88.03591865	121.0712383
200704	1477	2	47	150	150	200	200	100	124.97071	110.0448983	133.1783621	150	100	150	200	150	117.1600406	132.053878	108.9641145
200704	1480	1	49	100	100	150	100	100	85.91736312	88.03591865	84.74986682	50	50	100	150	100	70.29602437	66.02693899	72.64274299
